Asset_ID,AIC_unitless,MAPE_%,RMSE_$,ARIMA_order,Seasonal_order
600086,4586.59,45.14,1.79,"(1,1,1)","(0,0,0,0)"
600087,4496.84,66.33,2.31,"(1,1,1)","(0,0,0,0)"
600088,4800.79,25.57,1.2,"(1,1,1)","(0,0,0,0)"
600089,4828.5,37.13,1.57,"(1,1,1)","(0,0,0,0)"
600090,4735.34,58.53,1.58,"(1,1,1)","(0,0,0,0)"
600091,4609.49,41.68,1.41,"(1,1,1)","(0,0,0,0)"
600092,4790.15,63.15,2.6,"(1,1,1)","(0,0,0,0)"
600093,4798.95,37.0,1.63,"(1,1,1)","(0,0,0,0)"
600094,4621.7,34.21,1.78,"(1,1,1)","(0,0,0,0)"
600095,4586.86,61.48,2.99,"(1,1,1)","(0,0,0,0)"
600096,4728.52,33.33,1.26,"(1,1,1)","(0,0,0,0)"
600097,4664.13,36.38,1.88,"(1,1,1)","(0,0,0,0)"
600098,4534.89,46.1,1.88,"(1,1,1)","(0,0,0,0)"
600099,4706.14,57.32,2.31,"(1,1,1)","(0,0,0,0)"
600100,4617.78,50.93,2.44,"(1,1,1)","(0,0,0,0)"
600101,4513.2,40.45,2.33,"(1,1,1)","(0,0,0,0)"
600102,4772.17,38.08,1.5,"(1,1,1)","(0,0,0,0)"
600103,4410.96,37.36,1.75,"(1,1,1)","(0,0,0,0)"
600104,4692.69,50.47,2.38,"(1,1,1)","(0,0,0,0)"
600105,4795.84,39.72,1.24,"(1,1,1)","(0,0,0,0)"
600106,4488.58,45.12,2.11,"(1,1,1)","(0,0,0,0)"
600107,4692.42,38.28,1.32,"(1,1,1)","(0,0,0,0)"
600108,4571.72,67.63,1.99,"(1,1,1)","(0,0,0,0)"
600109,4584.34,70.13,3.02,"(1,1,1)","(0,0,0,0)"
600110,4612.62,63.63,1.52,"(1,1,1)","(0,0,0,0)"
600111,4554.83,47.71,1.75,"(1,1,1)","(0,0,0,0)"
600112,4626.73,36.0,1.82,"(1,1,1)","(0,0,0,0)"
600113,4733.31,53.38,1.7,"(1,1,1)","(0,0,0,0)"
600114,4546.84,56.67,2.24,"(1,1,1)","(0,0,0,0)"
600115,4507.92,57.19,1.8,"(1,1,1)","(0,0,0,0)"
600116,4586.49,41.25,1.67,"(1,1,1)","(0,0,0,0)"
600117,4509.16,30.27,1.27,"(1,1,1)","(0,0,0,0)"
600118,4685.37,52.88,1.83,"(1,1,1)","(0,0,0,0)"
600119,4682.97,52.88,1.67,"(1,1,1)","(0,0,0,0)"
600120,4693.35,56.04,2.22,"(1,1,1)","(0,0,0,0)"
600121,4619.55,39.42,1.49,"(1,1,1)","(0,0,0,0)"
600122,4731.13,59.02,2.27,"(1,1,1)","(0,0,0,0)"
600123,4826.14,43.53,1.67,"(1,1,1)","(0,0,0,0)"
600124,4670.09,63.2,1.93,"(1,1,1)","(0,0,0,0)"
600125,4585.33,29.4,1.48,"(1,1,1)","(0,0,0,0)"
600126,4710.11,44.86,1.82,"(1,1,1)","(0,0,0,0)"
600127,4565.19,48.96,1.68,"(1,1,1)","(0,0,0,0)"
